symbol,name,open,high,low,price,vol,percent_change,trend
NVDA,NVIDIA Corporation,181.8600006103516,186.8000030517578,181.00999450683597,185.4499969482422,4376833,3.8161206009845174,/static/stocks/data/nvda/trend.png
AAPL,Apple Inc,145.38999938964844,148.66000366210938,145.25999450683594,148.5500030517578,3724212,3.2808329814859523,/static/stocks/data/aapl/trend.png
MSFT,Microsoft Corporation,268.4800109863281,272.2799987792969,267.5599975585937,271.9648132324219,1307811,2.2589440495556063,/static/stocks/data/msft/trend.png
AMZN,Amazon.com Inc,2271.0,2293.0,2252.56005859375,2270.06005859375,209034,2.136065988276082,/static/stocks/data/amzn/trend.png
GLD,GOLD stock prices,173.49009704589844,173.52000427246094,172.63999938964844,173.0,322884,0.13833642616299582,/static/stocks/data/gld/trend.png
GOOGL,Alphabet Inc,2189.659912109375,2238.239990234375,2182.764892578125,2235.4599609375,69398,3.6357226296758145,/static/stocks/data/googl/trend.png
PSX,Phillips 66,98.6999969482422,102.2699966430664,98.61000061035156,102.06999969482422,466768,3.4346502529295027,/static/stocks/data/psx/trend.png
FB,Meta Platforms Inc.,191.3600006103516,194.72000122070312,189.8000030517578,193.57000732421875,893594,1.0137998108439648,/static/stocks/data/fb/trend.png
F,Ford Motor Company,13.260000228881836,13.550000190734863,13.239999771118164,13.475000381469728,1890570,2.677227566682063,/static/stocks/data/f/trend.png
GOOG,Alphabet Inc,2195.77001953125,2246.449951171875,2191.0,2242.010009765625,46060,3.4652996028185377,/static/stocks/data/goog/trend.png
PLTR,Palantir Technologies Inc,8.5,8.835000038146973,8.433600425720215,8.6899995803833,1030902,3.8823480045094274,/static/stocks/data/pltr/trend.png
